99553,Akutan,Alaska,AK
99571,Cold Bay,Alaska,AK
99583,False Pass,Alaska,AK
99612,King Cove,Alaska,AK
99661,Sand Point,Alaska,AK
99546,Adak,Alaska,AK
99547,Atka,Alaska,AK
99591,Saint George Island,Alaska,AK
99638,Nikolski,Alaska,AK
99660,Saint Paul Island,Alaska,AK
99685,Unalaska,Alaska,AK
99692,Dutch Harbor,Alaska,AK
99501,Anchorage,Alaska,AK
99502,Anchorage,Alaska,AK
99503,Anchorage,Alaska,AK
99504,Anchorage,Alaska,AK
99505,Fort Richardson,Alaska,AK
99506,Elmendorf Afb,Alaska,AK
99507,Anchorage,Alaska,AK
99508,Anchorage,Alaska,AK
99509,Anchorage,Alaska,AK
99510,Anchorage,Alaska,AK
99511,Anchorage,Alaska,AK
99512,Anchorage,Alaska,AK
99513,Anchorage,Alaska,AK
99514,Anchorage,Alaska,AK
99515,Anchorage,Alaska,AK
99516,Anchorage,Alaska,AK
99517,Anchorage,Alaska,AK
99518,Anchorage,Alaska,AK
99519,Anchorage,Alaska,AK
99520,Anchorage,Alaska,AK
99521,Anchorage,Alaska,AK
99522,Anchorage,Alaska,AK
99523,Anchorage,Alaska,AK
99524,Anchorage,Alaska,AK
99529,Anchorage,Alaska,AK
99530,Anchorage,Alaska,AK
99540,Indian,Alaska,AK
99567,Chugiak,Alaska,AK
99577,Eagle River,Alaska,AK
99587,Girdwood,Alaska,AK
99599,Anchorage,Alaska,AK
99695,Anchorage,Alaska,AK
99545,Kongiganak,Alaska,AK
99551,Akiachak,Alaska,AK
99552,Akiak,Alaska,AK
99557,Aniak,Alaska,AK
99559,Bethel,Alaska,AK
99561,Chefornak,Alaska,AK
99575,Crooked Creek,Alaska,AK
99578,Eek,Alaska,AK
99589,Goodnews Bay,Alaska,AK
99607,Kalskag,Alaska,AK
99609,Kasigluk,Alaska,AK
99614,Kipnuk,Alaska,AK
99621,Kwethluk,Alaska,AK
99622,Kwigillingok,Alaska,AK
99626,Lower Kalskag,Alaska,AK
99630,Mekoryuk,Alaska,AK
99634,Napakiak,Alaska,AK
99637,Toksook Bay,Alaska,AK
99641,Nunapitchuk,Alaska,AK
99651,Platinum,Alaska,AK
99655,Quinhagak,Alaska,AK
99656,Red Devil,Alaska,AK
99668,Sleetmute,Alaska,AK
99679,Tuluksak,Alaska,AK
99680,Tuntutuliak,Alaska,AK
99681,Tununak,Alaska,AK
99690,Nightmute,Alaska,AK
99613,King Salmon,Alaska,AK
99633,Naknek,Alaska,AK
99670,South Naknek,Alaska,AK
99704,Clear,Alaska,AK
99729,Cantwell,Alaska,AK
