1,Alabama,1
2,Alaska,1
3,Arizona,1
4,Arkansas,1
5,California,1
6,Colorado,1
7,Connecticut,1
8,Delaware,1
9,District of Columbia,1
10,Florida,1
11,Georgia,1
12,Guam,1
13,Hawaii,1
14,Idaho,1
15,Illinois,1
16,Indiana,1
17,Iowa,1
18,Kansas,1
19,Kentucky,1
20,Louisiana,1
21,Maine,1
22,Maryland,1
23,Massachusetts,1
24,Michigan,1
25,Minnesota,1
26,Mississippi,1
27,Missouri,1
28,Montana,1
29,Nebraska,1
30,Nevada,1
31,New Hampshire,1
32,New Jersey,1
33,New Mexico,1
34,New York,1
35,North Carolina,1
36,North Dakota,1
37,Ohio,1
38,Oklahoma,1
39,Oregon,1
40,Pennsylvania,1
41,Puerto Rico,1
42,Rhode Island,1
43,South Carolina,1
44,South Dakota,1
45,Tennessee,1
46,Texas,1
47,Utah,1
48,Vermont,1
49,Virginia,1
50,Washington,1
51,West Virginia,1
52,Wisconsin,1
53,Wyoming,1
